DATE,ENUC111840010SA
1990-01-01,357.303905630624
1990-04-01,366.145267814065
1990-07-01,367.17784150256597
1990-10-01,373.946205701495
1991-01-01,376.390237365324
1991-04-01,381.66944871464403
1991-07-01,383.150539588097
1991-10-01,383.842796429481
1992-01-01,391.99874773858
1992-04-01,394.726742471537
1992-07-01,399.499622096654
1992-10-01,415.462535258995
1993-01-01,403.03210773525103
1993-04-01,416.223018535898
1993-07-01,419.73770983718697
1993-10-01,428.28971794532504
1994-01-01,422.001300605579
1994-04-01,426.83852749980906
1994-07-01,436.67830224214896
1994-10-01,433.987801644911
1995-01-01,444.261228647601
1995-04-01,440.95519617124495
1995-07-01,452.229882006469
1995-10-01,447.72968136669
1996-01-01,457.291657676887
1996-04-01,453.434919241246
1996-07-01,464.197906807361
1996-10-01,475.13934509771
1997-01-01,494.167360348071
1997-04-01,510.448725980277
1997-07-01,491.37750150715
1997-10-01,499.213171016534
1998-01-01,502.162720007451
1998-04-01,502.45364203193003
1998-07-01,497.54863942164
1998-10-01,545.875666714785
1999-01-01,509.329414917022
1999-04-01,521.268020563837
1999-07-01,537.566678191088
1999-10-01,543.778121674231
2000-01-01,538.818722002594
2000-04-01,548.677633445652
2000-07-01,553.1858999331411
2000-10-01,552.461856813536
2001-01-01,560.9021333243891
2001-04-01,570.1528197776361
2001-07-01,558.6760982101371
2001-10-01,577.593801029981
2002-01-01,579.849013168416
2002-04-01,584.885296694588
2002-07-01,586.086188441317
2002-10-01,588.323301376334
2003-01-01,601.472382322825
2003-04-01,611.958724182702
2003-07-01,618.78590597761
2003-10-01,612.203719089994
2004-01-01,615.30287436634
2004-04-01,619.496238036489
2004-07-01,638.942526997625
2004-10-01,641.1234364828659
2005-01-01,633.681818123456
2005-04-01,649.016904618835
2005-07-01,663.87529722003
2005-10-01,661.190220499567
2006-01-01,678.145530332908
2006-04-01,677.2892008427909
2006-07-01,672.513090118423
2006-10-01,689.608819277791
2007-01-01,705.852559215646
2007-04-01,708.738038281929
2007-07-01,713.8109025190131
2007-10-01,721.8221768864411
2008-01-01,735.666612288099
2008-04-01,733.133232064837
2008-07-01,750.127891402929
2008-10-01,747.494108593873
2009-01-01,747.28091657738
2009-04-01,747.264196730893
2009-07-01,763.139435436021
2009-10-01,766.8969326385941
2010-01-01,739.090868752229
2010-04-01,760.871036396321
2010-07-01,757.376300957207
2010-10-01,803.849913227375
2011-01-01,758.542546477306
2011-04-01,782.4384417153141
2011-07-01,786.673949859855
2011-10-01,785.394556048201
2012-01-01,798.3510449992101
2012-04-01,808.8975161183639
2012-07-01,807.544303684093
2012-10-01,822.650751361409
2013-01-01,824.1548750359821
2013-04-01,816.654290691078
2013-07-01,810.9364972231019
2013-10-01,830.000783119574
2014-01-01,851.3534087577569
2014-04-01,853.245549967553
2014-07-01,871.705237221205
2014-10-01,867.7030609663319
2015-01-01,873.3130140284339
2015-04-01,880.0074324882249
2015-07-01,882.1560276328819
2015-10-01,916.065650180354
2016-01-01,865.86130696998
2016-04-01,896.7645757228751
2016-07-01,929.7182527619251
2016-10-01,904.202250388866
2017-01-01,926.221775872135
2017-04-01,932.8605295435871
2017-07-01,928.9421156787989
2017-10-01,944.659684313322
2018-01-01,950.229424223684
2018-04-01,963.61793246417
2018-07-01,970.759368309758
2018-10-01,975.38548872177
2019-01-01,980.922832239742
